epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3309.56,0.77582,0.43315,1.0997,0.98907,0.97835,0.98869,0.87706,0.5772,0.28728,0.94326,0.0002377,0.0002377,0.0002377
79,3358,0.79046,0.42613,1.10157,0.98386,0.9887,0.99372,0.87247,0.58639,0.2681,0.92755,0.0002278,0.0002278,0.0002278
80,3401.68,0.79883,0.42657,1.11006,0.98386,0.98871,0.98887,0.8651,0.61227,0.28505,0.94426,0.0002179,0.0002179,0.0002179
81,3446.04,0.79118,0.42484,1.10717,0.98686,0.98378,0.99078,0.88601,0.54875,0.27069,0.92159,0.000208,0.000208,0.000208
82,3489.94,0.76856,0.40896,1.09516,0.98762,0.98378,0.9943,0.86957,0.61496,0.27477,0.94047,0.0001981,0.0001981,0.0001981
83,3534.5,0.77759,0.42444,1.10804,0.98386,0.98871,0.9944,0.89349,0.5296,0.25753,0.91285,0.0001882,0.0001882,0.0001882
84,3578.97,0.75995,0.40806,1.07868,0.98302,0.98378,0.99383,0.87845,0.57234,0.27278,0.92722,0.0001783,0.0001783,0.0001783
85,3623.39,0.78471,0.42206,1.11682,0.98284,0.98378,0.99425,0.8693,0.62266,0.27838,0.94462,0.0001684,0.0001684,0.0001684
86,3669.38,0.75502,0.41588,1.08492,0.98769,0.98378,0.99405,0.882,0.56411,0.26104,0.92471,0.0001585,0.0001585,0.0001585
87,3713.03,0.75409,0.40999,1.09319,0.98824,0.98378,0.99278,0.87189,0.60605,0.2708,0.93878,0.0001486,0.0001486,0.0001486
88,3756.8,0.75624,0.39942,1.08067,0.98386,0.98869,0.98948,0.89061,0.53468,0.25887,0.92187,0.0001387,0.0001387,0.0001387
89,3801.62,0.76895,0.41131,1.08951,0.98605,0.98378,0.99379,0.87653,0.5714,0.26007,0.93014,0.0001288,0.0001288,0.0001288
90,3849.56,0.78311,0.42367,1.09668,0.98737,0.98378,0.9935,0.87613,0.57519,0.25774,0.92741,0.0001189,0.0001189,0.0001189
91,3901.49,0.64534,0.3058,1.03334,0.98796,0.98378,0.99364,0.84021,0.70105,0.29183,0.96872,0.000109,0.000109,0.000109
92,3952.54,0.64515,0.29378,1.02844,0.98776,0.97838,0.99025,0.86664,0.57948,0.27509,0.93315,9.91e-05,9.91e-05,9.91e-05
93,3999.73,0.63118,0.28466,1.01107,0.9879,0.97838,0.98725,0.85083,0.65746,0.29655,0.95428,8.92e-05,8.92e-05,8.92e-05
94,4047.74,0.59942,0.26901,0.99809,0.98589,0.97838,0.993,0.88857,0.53065,0.25934,0.90366,7.93e-05,7.93e-05,7.93e-05
95,4095.03,0.6297,0.28055,1.02188,0.98745,0.97838,0.99369,0.87718,0.56705,0.26154,0.91341,6.94e-05,6.94e-05,6.94e-05
96,4142.05,0.59661,0.27302,1.0027,0.98768,0.98378,0.99413,0.90258,0.49826,0.25078,0.89848,5.95e-05,5.95e-05,5.95e-05
97,4188.73,0.60506,0.27261,1.00463,0.98835,0.98378,0.99408,0.88741,0.5625,0.26579,0.92069,4.96e-05,4.96e-05,4.96e-05
98,4237.07,0.58337,0.26458,1.00498,0.98808,0.98378,0.99413,0.89543,0.54096,0.2592,0.91534,3.97e-05,3.97e-05,3.97e-05
99,4285.06,0.59504,0.26461,1.01942,0.98769,0.98378,0.99408,0.90223,0.51548,0.25487,0.908,2.98e-05,2.98e-05,2.98e-05
100,4332.35,0.58939,0.25821,0.99135,0.98786,0.98378,0.99402,0.89569,0.54136,0.25707,0.91416,1.99e-05,1.99e-05,1.99e-05
